bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n
1624501-2,2.7,ausreichend,549083.768,6017744.753
1624502-0,2.3,befriedigend,548650.569,6018601.8
1624503-0,2.2,befriedigend,548002.791,6019641.272
1624504-0,2.5,ausreichend,547077.839,6020816.375
1624505-1,2.2,befriedigend,546415.298,6021502.622
1624505-2,2.3,befriedigend,546415.298,6021502.622
1624506-0,2.3,befriedigend,545885.116,6021988.226
1624507-0,2.8,ausreichend,545515.416,6022321.328
1624511-0,2.4,befriedigend,547801.875,6016998.745
1624512-0,2.2,befriedigend,548078.384,6017192.486
1624513-0,2.0,befriedigend,549877.652,6018067.236
1624514-0,2.4,befriedigend,551271.818,6018523.679
1624515-0,2.3,befriedigend,553942.597,6019090.486
1624529-0,2.0,befriedigend,544467.488,6023282.425
1624531-0,1.7,gut,547568.156,6027674.037
1625505-0,2.2,befriedigend,555567.596,6019181.383
1625506-0,2.0,befriedigend,563930.212,6019453.651
1625507-0,2.0,befriedigend,556502.269,6018957.688
1625508-0,2.0,befriedigend,557539.149,6018817.112
1625509-0,2.2,befriedigend,558033.858,6018778.558
1625510-0,1.9,gut,559222.498,6018856.563
1625511-0,2.0,befriedigend,560380.187,6019249.679
1625512-0,2.3,befriedigend,561732.117,6019458.6
1625513-1,1.9,gut,562976.917,6019542.112
1625513-2,1.9,gut,562976.917,6019542.112
1625514-1,2.4,befriedigend,563418.399,6019518.439
1625514-2,2.4,befriedigend,563418.399,6019518.439
1626500-0,2.3,befriedigend,565738.106,6018688.759
1626501-0,2.2,befriedigend,567356.622,6018105.445
1626502-1,2.3,befriedigend,568574.388,6018224.651
1626502-2,2.3,befriedigend,568605.032,6018207.451
1626503-0,1.6,gut,568208.659,6018188.631
1626504-0,2.5,ausreichend,568551.894,6017671.676
1626505-0,2.3,befriedigend,568666.46,6017932.362
1626506-0,2.8,ausreichend,568855.298,6018219.718
1626507-0,2.4,befriedigend,569515.041,6018583.889
1626508-0,1.7,gut,569805.351,6018633.027
1626509-0,2.2,befriedigend,569925.188,6018659.659
1626510-0,2.5,ausreichend,570908.127,6019139.978
1626511-0,2.3,befriedigend,572862.68,6025115.84
1626512-1,2.5,ausreichend,568623.222,6018544.86
1626512-2,2.0,befriedigend,568636.103,6018536.561
1626513-0,2.0,befriedigend,572160.759,6021359.22
1626514-1,2.5,ausreichend,572520.147,6022041.624
1626514-2,2.5,ausreichend,572520.147,6022041.624
1626515-0,2.4,befriedigend,569998.787,6025037.446
1626516-0,2.5,ausreichend,572896.308,6025115.979
1626518-0,2.3,befriedigend,566152.717,6027756.504
1626519-1,2.7,ausreichend,567619.261,6026307.538
1626519-2,2.6,ausreichend,567619.261,6026307.538
1626520-1,2.5,ausreichend,568718.932,6025727.403
1626520-2,2.8,ausreichend,568718.932,6025727.403
1626521-0,2.7,ausreichend,570750.605,6024320.679
1626522-1,2.4,befriedigend,571131.717,6023835.417
1626522-2,2.0,befriedigend,571131.717,6023835.417
1626522-3,2.0,befriedigend,571131.717,6023835.417
1626523-0,2.0,befriedigend,572653.873,6022293.28
1626524-0,2.3,befriedigend,572778.152,6022575.486
1626525-1,2.2,befriedigend,572602.726,6023123.483
1626525-2,2.2,befriedigend,572600.993,6023138.899
1626526-0,1.9,gut,572349.92,6023197.506
1626527-0,2.0,befriedigend,572915.261,6022808.522
1626528-0,2.4,befriedigend,571233.62,6023722.242
1626530-0,2.0,befriedigend,573843.398,6028231.641
1626532-0,2.0,befriedigend,573961.712,6027773.805
1626533-1,1.7,gut,574155.847,6027464.919
1626533-2,2.7,ausreichend,574155.847,6027464.919
1626534-1,2.5,ausreichend,574055.56,6026934.863
1626534-2,2.5,ausreichend,574055.56,6026934.863
1626535-0,1.9,gut,574028.535,6026870.089
1626536-0,2.5,ausreichend,573846.123,6026725.904
1626539-0,2.6,ausreichend,572766.322,6024043.26
1626540-0,1.8,gut,572904.307,6024348.805
1626541-0,1.8,gut,573012.667,6024421.413
1626542-1,1.9,gut,573033.054,6024480.033
1626542-2,2.3,befriedigend,573050.703,6024482.778
1626543-0,2.5,ausreichend,572914.702,6024493.883
1626544-1,1.8,gut,573164.422,6025584.649
1626544-2,1.7,gut,573150.908,6025596.594
1626545-0,2.5,ausreichend,573215.768,6025609.141
1626546-0,2.5,ausreichend,573365.797,6025859.17
1626547-0,2.0,befriedigend,571792.223,6023318.203
1626554-0,2.7,ausreichend,572804.631,6022813.125
1626555-0,2.0,befriedigend,572753.696,6023036.828
1626563-0,2.0,befriedigend,571628.046,6019170.333
1626566-0,3.0,nicht ausreichend,568624.273,6019166.25
1626567-0,2.7,ausreichend,568644.631,6018822.018
1626569-1,2.2,befriedigend,571497.729,6020619.212
1626569-2,2.7,ausreichend,571497.729,6020619.212
1626574-0,2.0,befriedigend,571611.522,6019331.256
1626576-0,1.8,gut,571410.566,6020295.3
1626577-0,2.3,befriedigend,571554.372,6019105.657
1626585-1,2.7,ausreichend,572924.523,6024514.46
1626585-2,2.6,ausreichend,572905.08,6024525.146
1626608-1,2.3,befriedigend,571766.313,6019147.375
