bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
5013617-1,2.3,befriedigend,424911.796,5649272.6,50.990134620900804,7.930118059474612
5013617-2,2.4,befriedigend,424911.796,5649272.6,50.990134620900804,7.930118059474612
5013618-1,2.3,befriedigend,424545.324,5649426.326,50.99146883027329,7.924865489491701
5013632-0,2.5,ausreichend,423425.609,5640524.664,50.91128656754548,7.910786471213806
5013633-1,2.7,ausreichend,422656.985,5641498.083,50.91993605643658,7.899649122630832
5013633-2,2.7,ausreichend,422656.985,5641498.083,50.91993605643658,7.899649122630832
5013634-0,2.9,ausreichend,422257.27,5642118.89,50.92546397482361,7.893831188556878
5013635-0,2.8,ausreichend,421932.617,5642569.314,50.929469855593744,7.889116301683658
5013636-1,2.5,ausreichend,421412.231,5643260.478,50.93561336364055,7.881563766162584
5013636-3,2.1,befriedigend,421412.231,5643260.478,50.93561336364055,7.881563766162584
5013640-0,2.2,befriedigend,420710.591,5644592.783,50.947495859976996,7.871290289319591
5013642-0,2.5,ausreichend,419646.341,5645076.019,50.95169314908293,7.856036909772324
5013644-1,2.3,befriedigend,419023.299,5645997.291,50.95988886568565,7.846963842358183
5013644-2,2.4,befriedigend,419023.299,5645997.291,50.95988886568565,7.846963842358183
5013646-0,2.2,befriedigend,418786.402,5647418.663,50.972634676733215,7.843274009405992
5013647-1,2.7,ausreichend,418601.748,5648305.875,50.98058525737808,7.8404458915077
5013647-2,2.5,ausreichend,418602.099,5648304.939,50.98057689172128,7.840451100198596
5013655-0,2.2,befriedigend,419349.382,5650089.93,50.99673039303604,7.850697876467013
5013656-2,2.3,befriedigend,420086.8,5650063.593,50.99659649361874,7.861209930105215
5013657-1,2.7,ausreichend,420661.688,5649864.651,50.994887411169486,7.869444032903797
5013657-2,2.3,befriedigend,420661.688,5649864.651,50.994887411169486,7.869444032903797
5013658-1,2.1,befriedigend,421623.877,5649883.786,50.99519131023041,7.883148110387009
5013658-2,2.3,befriedigend,421623.877,5649883.786,50.99519131023041,7.883148110387009
5013659-0,2.3,befriedigend,422300.771,5649833.584,50.994831752483954,7.8928025883994675
5013660-0,2.5,ausreichend,423453.468,5649376.375,50.99087553475197,7.909321432173314
5013763-1,3.0,nicht ausreichend,418300.641,5649156.631,50.98819147051789,7.835966143135027
5013763-2,3.0,nicht ausreichend,418306.165,5649163.764,50.9882563849888,7.836043226366895
5013764-0,2.3,befriedigend,418467.891,5649373.351,50.9901636440874,7.838299915791836
5013766-1,2.7,ausreichend,418574.869,5649509.914,50.99140658201372,7.839793229829358
5013766-3,2.2,befriedigend,418589.501,5649496.152,50.99128492247004,7.840004756548213
5014529-0,2.7,ausreichend,433586.283,5640757.599,50.91463970353424,8.055249458711778
5014558-0,2.2,befriedigend,439402.604,5643816.446,50.942783704259085,8.137468948702082
