bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
4512562-2,1.8,gut,415637.519,5699585.09,51.44116763331611,7.786167419169908
4512580-0,1.6,gut,416500.239,5698536.941,51.43187277933747,7.798824738828972
4512582-0,2.0,befriedigend,416092.004,5698837.83,51.434517409393656,7.792882228695396
4512587-2,1.8,gut,415399.722,5699560.229,51.440908668446134,7.782752695755969
4512599-1,1.7,gut,418611.089,5696096.66,51.410241887143265,7.829743673729547
4512600-0,2.0,befriedigend,418342.297,5696349.096,51.412472633636185,7.825821562510762
4512601-0,2.0,befriedigend,418002.605,5696582.286,51.41451997450322,7.820884213231517
4512602-0,2.0,befriedigend,417970.783,5696659.517,51.41520967391335,7.820408848649007
4512603-0,2.0,befriedigend,417910.404,5696907.311,51.41742858883247,7.81948340265131
4512604-0,1.7,gut,417663.633,5697251.227,51.420484579994245,7.815855545916056
4512605-0,2.0,befriedigend,417347.653,5697558.81,51.42320373462868,7.811240493346112
4512606-0,2.0,befriedigend,417043.353,5697822.829,51.42553277708416,7.806803054331276
4512607-1,1.2,sehr gut,416857.044,5697967.569,51.42680666870791,7.804089958714275
4513524-0,1.6,gut,421427.698,5702637.754,51.46944407972726,7.868781961960971
4513576-C,1.6,gut,427264.379,5701286.74,51.4580785204255,7.9530758903581535
4513577-0,1.1,sehr gut,426556.815,5702208.672,51.46627555863951,7.9427018586008655
4513587-2,2.0,befriedigend,428061.319,5699422.496,51.441420187251055,7.964923747091308
4513596-0,2.0,befriedigend,419276.203,5695442.944,51.404460046810065,7.839453742990324
4513597-0,1.7,gut,419126.08,5695588.889,51.40575070699809,7.837262661504243
4513600-0,1.7,gut,425746.018,5702666.592,51.47028654279504,7.9309354725427745
4513606-0,2.0,befriedigend,421573.763,5705280.256,51.493220458644934,7.870297588073747
4513612-1,1.8,gut,429588.615,5697453.908,51.42391367970821,7.987286645229222
4513615-0,1.7,gut,429680.302,5697175.733,51.4214241468497,7.98866034668251
4513616-0,1.7,gut,429706.192,5697109.821,51.420834780028656,7.989045709775154
4513617-0,1.7,gut,429740.085,5696878.641,51.418760569865114,7.989578904871046
4513618-0,1.8,gut,429739.818,5696770.873,51.41779165349232,7.989596429625526
4513619-0,1.8,gut,429720.838,5696548.251,51.41578782732512,7.98936766671447
4513620-0,1.8,gut,429706.772,5696462.581,51.41501587082075,7.989182416227743
4513621-1,1.2,sehr gut,429684.006,5696307.959,51.413622924806894,7.988885765182124
4513698-0,1.2,sehr gut,425190.323,5705690.793,51.49740139612044,7.922295674759761
4514507-0,2.0,befriedigend,437323.952,5702293.49,51.46833318192677,8.097669550609135
4514508-B,2.0,befriedigend,436648.079,5704151.146,51.48495939660599,8.08760733257527
4514562-0,1.1,sehr gut,434544.285,5697213.656,51.422347715054045,8.058596741069783
4514594-2,2.0,befriedigend,430602.89,5698667.978,51.43495385042657,8.00163449601667
4514595-2,2.0,befriedigend,431390.076,5698430.278,51.43291269546418,8.01300340552101
4514596-0,2.0,befriedigend,431900.314,5698372.405,51.43245394961067,8.020353469335983
4514597-1,2.0,befriedigend,432303.91,5698354.201,51.43233865517349,8.026161966473989
4514599-0,2.0,befriedigend,432995.786,5698297.611,51.431912128603706,8.036124092508372
4514601-1,2.0,befriedigend,434567.368,5697251.86,51.42269385867568,8.058921624463746
4514602-2,2.0,befriedigend,435040.324,5696506.297,51.41604516597695,8.065859551548431
4514604-1,2.0,befriedigend,435963.503,5695723.81,51.40911509807507,8.079274632559853
4514604-2,2.0,befriedigend,435963.503,5695723.81,51.40911509807507,8.079274632559853
4514605-1,1.9,gut,436378.018,5695293.276,51.405290948171604,8.085311002586014
4514605-2,2.0,befriedigend,436378.018,5695293.276,51.405290948171604,8.085311002586014
4514607-0,2.0,befriedigend,436405.635,5695258.643,51.404982669967836,8.085714205637997
4514608-0,1.7,gut,436415.105,5695246.879,51.40487796492322,8.085852444576506
4515565-0,1.6,gut,453007.207,5704722.712,51.49169457238579,8.32311420426959
4515574-0,1.9,gut,453599.801,5704502.913,51.48976727867059,8.331678216699482
4516509-0,1.0,sehr gut,454326.727,5701223.821,51.46034358498577,8.34257165574299
4516517-0,1.0,sehr gut,459559.673,5703543.531,51.48159891566141,8.41762556133106
4516525-0,1.7,gut,461559.071,5704124.258,51.486959862406884,8.446353848847053
4516526-A,1.8,gut,461646.903,5704111.838,51.48685415452468,8.447620136835239
4516526-B,1.8,gut,461640.296,5704189.51,51.48755208085334,8.447516544088545
4516574-0,1.7,gut,463518.259,5704039.857,51.48633078324151,8.474578500132118
4516575-0,1.8,gut,465040.447,5702921.383,51.476370286825365,8.496611329860816
4516604-1,1.9,gut,453781.514,5703853.584,51.48394395413716,8.334380329286276
4516605-0,1.1,sehr gut,453781.759,5703942.759,51.484745759480674,8.3343721839378
4517502-0,1.8,gut,470984.758,5696490.525,51.41888293633584,8.582729184460232
4517523-0,1.0,sehr gut,470880.371,5696831.57,51.42194412671272,8.581200003540172
4517524-0,1.5,gut,469740.138,5698811.611,51.4396880803177,8.564632432805064
4517525-0,1.0,sehr gut,469445.419,5698814.821,51.43970112071476,8.560391982593101
4517526-0,1.0,sehr gut,468025.591,5699927.69,51.44962913309578,8.539864159979244
4517527-0,1.0,sehr gut,467920.844,5700177.722,51.45187137359095,8.538334150364836
4517529-0,1.8,gut,468930.418,5694598.736,51.40176385349417,8.553352237935693
4517530-0,2.0,befriedigend,469390.941,5694955.378,51.404995681276105,8.559941602950877
4517532-0,1.2,sehr gut,470236.06,5695055.579,51.40594163767234,8.57208287853721
4517533-0,2.0,befriedigend,471571.58,5694860.727,51.40425812374271,8.591298773159421
4517534-0,1.7,gut,471872.289,5694824.521,51.403947566768714,8.59562467142843
4517535-0,2.0,befriedigend,468523.709,5694348.438,51.39949084764626,8.54752790316247
4517536-0,1.6,gut,470971.231,5695066.473,51.406077703614045,8.582651258814636
4517537-0,2.0,befriedigend,473934.868,5700946.201,51.45909006470153,8.62482586431643
4517538-0,1.1,sehr gut,476093.114,5703348.342,51.48078446121687,8.655727895269239
4518504-0,1.8,gut,488182.405,5699122.086,51.443164866007905,8.82996026417449
4518505-0,1.9,gut,488167.782,5699109.981,51.44305571522334,8.829750264043643
4519509-0,1.9,gut,488759.781,5700261.031,51.453417753648445,8.838231728341137
4519516-0,1.2,sehr gut,494002.3,5705037.463,51.496446083742356,8.91360038458367
4519533-0,2.0,befriedigend,488598.911,5699984.619,51.45092910498245,8.835925420592528
4520505-0,1.1,sehr gut,507796.662,5703964.436,51.486775770159035,9.112290733896824
4520507-0,1.0,sehr gut,507865.817,5704350.475,51.49024597002754,9.11329533318999
4520511-0,2.0,befriedigend,509803.529,5704701.428,51.49337135885703,9.141214844397593
4520515-0,2.0,befriedigend,511158.626,5704349.013,51.490177422506946,9.160723106232032
4520552-0,2.0,befriedigend,511424.922,5704128.471,51.48818905473899,9.164551541294973
4520553-0,2.0,befriedigend,511334.629,5704263.107,51.48940147973082,9.163255393097115
4520648-1,1.8,gut,509079.502,5699996.702,51.45107974447552,9.130664729382383
4520648-2,1.9,gut,509079.502,5699996.702,51.45107974447552,9.130664729382383
4520650-1,2.0,befriedigend,507490.969,5702029.889,51.469384948061474,9.10784699513383
4520650-2,1.6,gut,507490.969,5702029.889,51.469384948061474,9.10784699513383
4520651-0,1.0,sehr gut,506885.451,5702371.354,51.472463012193316,9.099136060556733
4520669-1,1.9,gut,511467.345,5695555.395,51.41110108409979,9.164884654795229
4520670-0,1.7,gut,511030.257,5696562.362,51.42016422574332,9.158631291940688
4520671-0,1.0,sehr gut,510838.865,5697926.819,51.43243685382334,9.155920553663924
4520676-0,2.0,befriedigend,505557.903,5702769.277,51.47605563996919,9.080028435212958
4520678-0,1.7,gut,503074.575,5703180.582,51.479772944872686,9.044274507066794
4520680-0,1.6,gut,502116.51,5703775.712,51.485128603999144,9.030481745513583
4520681-0,2.0,befriedigend,501639.07,5704148.388,51.48848119794308,9.023607437957454
4520682-0,1.0,sehr gut,501470.718,5704235.53,51.489265219516476,9.021183036347972
4520685-0,1.9,gut,500441.225,5704453.524,51.49122710621758,9.006355321911022
4520686-0,1.8,gut,501106.564,5704770.267,51.49407426576442,9.0159397326602
4520687-0,2.0,befriedigend,501226.027,5705139.815,51.49739689659843,9.017661846480351
4520715-0,1.6,gut,500977.578,5699944.853,51.450685489944895,9.014068375152217
4520717-0,1.7,gut,501114.732,5697294.517,51.42685388718363,9.016033819243997
4520718-0,1.8,gut,501375.322,5697610.134,51.42969129151942,9.019783257511516
4520719-0,1.7,gut,501527.069,5698001.472,51.433209748747615,9.021967742731247
4520720-0,1.4,sehr gut,501077.574,5697203.266,51.426033444586686,9.015499077208633
4520721-0,1.7,gut,501064.225,5697063.961,51.424780861186825,9.015306655974102
4520728-0,1.7,gut,501099.223,5699568.72,51.4473031518096,9.015817805844417
4520731-0,1.8,gut,501704.959,5702312.685,51.47197480687721,9.024547570951327
4520732-0,1.6,gut,501671.567,5702514.087,51.47378586675896,9.024067754288568
4520733-0,2.0,befriedigend,501485.073,5702842.939,51.47674334711022,9.021383936989755
4520735-0,2.0,befriedigend,500683.437,5703703.412,51.48448204839522,9.0098426456311
4520736-0,2.0,befriedigend,501305.677,5701573.245,51.46532699068916,9.018796077397896
4521652-0,1.8,gut,517544.854,5699394.804,51.44546859628375,9.252460303660634
4521655-0,1.4,sehr gut,521039.367,5698507.507,51.4373712395449,9.302690888693071
4521660-0,2.0,befriedigend,522737.837,5697862.854,51.431509090178416,9.327084766274076
4521661-0,2.0,befriedigend,523045.121,5697849.818,51.43137945867633,9.331504132575015
4521680-0,1.0,sehr gut,513385.922,5694292.364,51.39970208118074,9.192423329726171
